Q1	massage oil buy good oil massage
Q1099_C23	want want go paris great city go times still enough one favorite city europe go single friend fast switzerland direct de lion go times also time hours drive bern paris every time god help next time disneyland kid action speak loud words
Q1099_C24	paris know post title think offering free ticket poor friend
Q1099_C25	happy happy happy happy write post make people want open marketing ploy see p
Q1099_C26	well monsieur well monsieur pas pour paris laws state france speak french mr writing french means visit paris speak please mr integrity write english every one understand respect
Q1100	buying personal car planning purchase car buy second hand unit cash basis expat go process still need get letter employer allow purchase personal car appreciate much give idea feedback thank
Q1100_C1	buying personal car driving purchase car letter get already get letter submit driving u r entitle cargo best
Q1100_C2	buying personal car u need noc ur sponsor even u driving licence
Q1100_C3	buying personal car select car ur choice take computer check u r satisfy test negotiate price go letter ur sponsor id card owner car transfer ur name take atm credit card accept cash typing centre u type form arabic ur details car
Q1100_C4	buying personal car secondhand thing request noc sponsor need process car transfer photocopy make sure car buying good condition insurance valid another mo year better way ample time check cash going pocket repair one car traffic violation transfer way first owner pay case found day car violation day get bad us try request photo check really car police cant present proof cause parking violation mobile police note pay want argue wrong violation make place never visit owner car already left country anyway new car
Q1101	bank account status leaving doha bank account qatar later move doha possible keep account active make transactions online
Q1101_C1	bank account status leaving doha yes correct ask thing receive answer
Q1101_C2	bank account status leaving doha cancel recently come back doha inquire previous bank give bank account previous one thing apply new connection still ask pay outstanding bill id number pay arrears le therefore cancel account even work visa cancel
Q1101_C3	bank account status leaving doha time update cancel ac left peoples running short time give proper time service exist
Q1101_C4	bank account status leaving doha agree update data force give excellent service customer matter technology use go country visa cancellation repay loan catch airport want update data
Q1102	rugby world cup know tv right rugby world cup september al
Q1102_C1	ok thanks bit thanks bit confuse looking tv package get looking package deal shop seem include show sport part package even premier plus package recommend somewhere get channels include rugby world
Q1102_C2	recommendation recommendation tv package get get rugby world cup appreciate
Q1102_C3	get package get package sport include sport get box get showing game still show p
Q1102_C4	thank answer buy box package go store tell details give list package must sell
Q1102_C5	get mine star link pi get mine star link city want get need
Q1102_C6	think think
Q1102_C7	start start advertising black
Q1102_C8	channel exactly channel exactly showing
Q1103	job resignation within contract possible resign job within contract period necessary pay company expense accept resignation
Q1103_C1	know ur company know ur company accept ask u tell u accept end ur work ask u u give qatar think u pay still want u work ask u money u come ur visa
Q1103_C2	possible resign possible resign job within contract period well depend contract say contract specify resign agree period expense occur training visa ticket born yes pay company expense
Q1103_C3	receive letter contract sign ministry contract valid
Q1103_C4	fast working visa qatar apply job qatar last month one agency get job online job agency tell ill wait week true
Q1103_C5	case case depend employer get mine month adopt
Q1103_C6	resignation last three month
Q1104	lego block lego block qatar try toy r us city center landmark avail
Q1104_C1	unfortunately qatar unfortunately qatar undeveloped country good things great demand rather go cheap rubbish
Q1104_C2	buy mine online buy mine online amazon ship signature line cant fix stupid
Q1104_C3	try looking toy r us almost every month visit sell lego original lego never forget ask salesperson book may wrong illusion adventure reluctant messiah bach
Q1104_C4	think refer think refer block plain block one box building ship truck
